Age,Gender,Province,Education,Count,cell
45 to 54,Male,Yukon,Bachelor's degree or above,600,Male 45 to 54
45 to 54,Female,Yukon,No certificate,230,Female 45 to 54
45 to 54,Female,Yukon,High school,570,Female 45 to 54
45 to 54,Female,Yukon,College,825,Female 45 to 54
45 to 54,Female,Yukon,Some university,105,Female 45 to 54
45 to 54,Female,Yukon,Bachelor's degree or above,805,Female 45 to 54
55 to 64,Male,Yukon,No certificate,450,Male 55 to 64
55 to 64,Male,Yukon,High school,415,Male 55 to 64
55 to 64,Male,Yukon,College,570,Male 55 to 64
55 to 64,Male,Yukon,Some university,55,Male 55 to 64
55 to 64,Male,Yukon,Bachelor's degree or above,595,Male 55 to 64
55 to 64,Female,Yukon,No certificate,285,Female 55 to 64
55 to 64,Female,Yukon,High school,705,Female 55 to 64
55 to 64,Female,Yukon,College,690,Female 55 to 64
55 to 64,Female,Yukon,Some university,125,Female 55 to 64
55 to 64,Female,Yukon,Bachelor's degree or above,740,Female 55 to 64
25 to 34,Male,Northwest Territories,No certificate,770,Male 25 to 34
25 to 34,Male,Northwest Territories,High school,810,Male 25 to 34
25 to 34,Male,Northwest Territories,College,610,Male 25 to 34
25 to 34,Male,Northwest Territories,Some university,70,Male 25 to 34
25 to 34,Male,Northwest Territories,Bachelor's degree or above,630,Male 25 to 34
25 to 34,Female,Northwest Territories,No certificate,565,Female 25 to 34
25 to 34,Female,Northwest Territories,High school,790,Female 25 to 34
25 to 34,Female,Northwest Territories,College,660,Female 25 to 34
25 to 34,Female,Northwest Territories,Some university,65,Female 25 to 34
25 to 34,Female,Northwest Territories,Bachelor's degree or above,1210,Female 25 to 34
35 to 44,Male,Northwest Territories,No certificate,605,Male 35 to 44
35 to 44,Male,Northwest Territories,High school,575,Male 35 to 44
35 to 44,Male,Northwest Territories,College,530,Male 35 to 44
35 to 44,Male,Northwest Territories,Some university,55,Male 35 to 44
35 to 44,Male,Northwest Territories,Bachelor's degree or above,705,Male 35 to 44
35 to 44,Female,Northwest Territories,No certificate,490,Female 35 to 44
35 to 44,Female,Northwest Territories,High school,460,Female 35 to 44
35 to 44,Female,Northwest Territories,College,740,Female 35 to 44
35 to 44,Female,Northwest Territories,Some university,95,Female 35 to 44
35 to 44,Female,Northwest Territories,Bachelor's degree or above,1110,Female 35 to 44
45 to 54,Male,Northwest Territories,No certificate,740,Male 45 to 54
45 to 54,Male,Northwest Territories,High school,520,Male 45 to 54
45 to 54,Male,Northwest Territories,College,645,Male 45 to 54
45 to 54,Male,Northwest Territories,Some university,75,Male 45 to 54
45 to 54,Male,Northwest Territories,Bachelor's degree or above,530,Male 45 to 54
45 to 54,Female,Northwest Territories,No certificate,640,Female 45 to 54
45 to 54,Female,Northwest Territories,High school,545,Female 45 to 54
45 to 54,Female,Northwest Territories,College,855,Female 45 to 54
45 to 54,Female,Northwest Territories,Some university,110,Female 45 to 54
45 to 54,Female,Northwest Territories,Bachelor's degree or above,605,Female 45 to 54
55 to 64,Male,Northwest Territories,No certificate,545,Male 55 to 64
55 to 64,Male,Northwest Territories,High school,410,Male 55 to 64
55 to 64,Male,Northwest Territories,College,465,Male 55 to 64
55 to 64,Male,Northwest Territories,Some university,70,Male 55 to 64
55 to 64,Male,Northwest Territories,Bachelor's degree or above,500,Male 55 to 64
55 to 64,Female,Northwest Territories,No certificate,500,Female 55 to 64
55 to 64,Female,Northwest Territories,High school,455,Female 55 to 64
55 to 64,Female,Northwest Territories,College,630,Female 55 to 64
55 to 64,Female,Northwest Territories,Some university,120,Female 55 to 64
55 to 64,Female,Northwest Territories,Bachelor's degree or above,510,Female 55 to 64
25 to 34,Male,Nunavut,No certificate,1340,Male 25 to 34
25 to 34,Male,Nunavut,High school,590,Male 25 to 34
25 to 34,Male,Nunavut,College,375,Male 25 to 34
25 to 34,Male,Nunavut,Some university,15,Male 25 to 34
25 to 34,Male,Nunavut,Bachelor's degree or above,285,Male 25 to 34
25 to 34,Female,Nunavut,No certificate,1230,Female 25 to 34
25 to 34,Female,Nunavut,High school,580,Female 25 to 34
25 to 34,Female,Nunavut,College,610,Female 25 to 34
25 to 34,Female,Nunavut,Some university,25,Female 25 to 34
25 to 34,Female,Nunavut,Bachelor's degree or above,460,Female 25 to 34
35 to 44,Male,Nunavut,No certificate,865,Male 35 to 44
35 to 44,Male,Nunavut,High school,310,Male 35 to 44
35 to 44,Male,Nunavut,College,375,Male 35 to 44
35 to 44,Male,Nunavut,Some university,20,Male 35 to 44
35 to 44,Male,Nunavut,Bachelor's degree or above,310,Male 35 to 44
35 to 44,Female,Nunavut,No certificate,815,Female 35 to 44
35 to 44,Female,Nunavut,High school,315,Female 35 to 44
35 to 44,Female,Nunavut,College,480,Female 35 to 44
35 to 44,Female,Nunavut,Some university,30,Female 35 to 44
35 to 44,Female,Nunavut,Bachelor's degree or above,400,Female 35 to 44
45 to 54,Male,Nunavut,No certificate,805,Male 45 to 54
45 to 54,Male,Nunavut,High school,220,Male 45 to 54
45 to 54,Male,Nunavut,College,360,Male 45 to 54
45 to 54,Male,Nunavut,Some university,30,Male 45 to 54
45 to 54,Male,Nunavut,Bachelor's degree or above,220,Male 45 to 54
45 to 54,Female,Nunavut,No certificate,820,Female 45 to 54
45 to 54,Female,Nunavut,High school,160,Female 45 to 54
45 to 54,Female,Nunavut,College,505,Female 45 to 54
45 to 54,Female,Nunavut,Some university,20,Female 45 to 54
45 to 54,Female,Nunavut,Bachelor's degree or above,275,Female 45 to 54
55 to 64,Male,Nunavut,No certificate,420,Male 55 to 64
55 to 64,Male,Nunavut,High school,145,Male 55 to 64
55 to 64,Male,Nunavut,College,235,Male 55 to 64
55 to 64,Male,Nunavut,Some university,25,Male 55 to 64
55 to 64,Male,Nunavut,Bachelor's degree or above,190,Male 55 to 64
55 to 64,Female,Nunavut,No certificate,445,Female 55 to 64
55 to 64,Female,Nunavut,High school,90,Female 55 to 64
55 to 64,Female,Nunavut,College,245,Female 55 to 64
55 to 64,Female,Nunavut,Some university,40,Female 55 to 64
55 to 64,Female,Nunavut,Bachelor's degree or above,220,Female 55 to 64
